,Phone,Img_url,Price,Rating,connectivity,processor,Memory,Bettry,Display,Camera,Memory_card,Os
122,Samsung Galaxy S23 5G,"<img alt=""Samsung Galaxy S23 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ifgMKUMYY-w280-h280/samsung-galaxy-s23-5.webp""/>","₹64,999",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">3900 mAh Battery with 25W Fast Charging</li>","<li class="""">6.1 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 12 MP + 10 MP Triple Rear &amp; 12 MP Front Camera</li>","<li class="""">Android v13</li>",
123,Realme 11 Pro,"<img alt=""Realme 11 Pro"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i0jruRaqe-w280-h280/realme-11-pro.webp""/>","₹23,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">100 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
124,Samsung Galaxy A55 5G (12GB RAM + 256GB),"<img alt=""Samsung Galaxy A55 5G (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iNheAKwJ4-w280-h280/samsung-galaxy-a55-5.webp""/>","₹43,999",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1480, Octa Core, 2.7 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 12 MP + 5 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
125,Honor X9B,"<img alt=""Honor X9B"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ilcywUTwN-w280-h280/honor-x9b.webp""/>","₹22,890",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5800 mAh Battery with 35W Fast Charging</li>","<li class="""">6.78 inches, 1220 x 2652 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 5 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
126,OPPO A59 5G,"<img alt=""OPPO A59 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iewVfgZ1g-w280-h280/oppo-a59-5g.webp""/>","₹13,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6020, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.56 inches, 720 x 1612 px, 90 Hz Display with Punch Hole</li>","<li class="""">13 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
127,Xiaomi Redmi 12 5G,"<img alt=""Xiaomi Redmi 12 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iByMyRLrG-w280-h280/xiaomi-redmi-12-5g.webp""/>","₹11,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
128,Samsung Galaxy S21 FE (Snapdragon),"<img alt=""Samsung Galaxy S21 FE (Snapdragon)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i07gfpKQu-w280-h280/samsung-galaxy-s21-f.webp""/>","₹33,999",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon 888, Octa Core, 2.84 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">4500 mAh Battery with 25W Fast Charging</li>","<li class="""">6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">12 MP + 12 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v13</li>",
129,Samsung Galaxy F34 5G,"<img alt=""Samsung Galaxy F34 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iek9kpx4D-w280-h280/samsung-galaxy-f34-5.webp""/>","₹15,990",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Exynos 1280, Octa Core, 2.4 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2340 px, 120 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
130,Samsung Galaxy F14 5G,"<img alt=""Samsung Galaxy F14 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ixE88Xyyt-w280-h280/samsung-galaxy-f14-5.webp""/>","₹10,990",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Exynos 1330, Octa Core Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 2408 x 1080 px Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
131,Realme GT Neo 3 5G (12GB RAM + 256GB),"<img alt=""Realme GT Neo 3 5G (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ibjAw0Ywk-w280-h280/realme-gt-neo-3-5g-1.webp""/>","₹22,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity  8100, Octa Core, 2.85 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">4500 mAh Battery with 150W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v12</li>",
132,Vivo Y200 5G,"<img alt=""Vivo Y200 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ihN0gxP1M-w280-h280/vivo-y200-5g.webp""/>","₹21,999",81,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 4 Gen1, Octa Core, 2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4800 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v13</li>"
133,OPPO A79 5G,"<img alt=""OPPO A79 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iRXWANSv6-w280-h280/oppo-a79-5g.webp""/>","₹17,499",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6020, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
134,Samsung Galaxy S22 Ultra 5G,"<img alt=""Samsung Galaxy S22 Ultra 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-izOADfKsq-w280-h280/samsung-galaxy-s22-u.webp""/>","₹77,999",93,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Snapdragon  8 Gen1, Octa Core, 3 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.8 inches, 1440 x 3080 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP Quad Rear &amp; 40 MP Front Camera</li>","<li class="""">Android v12</li>","<li class="""">Bluetooth</li>"
135,Vivo V30 5G (12GB RAM + 256GB),"<img alt=""Vivo V30 5G (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ihtJLICRr-w280-h280/vivo-v30-5g-12gb-ram.webp""/>","₹37,500",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP Dual Rear &amp; 50 MP Front Camera</li>","<li class="""">Memory Card Supported</li>","<li class="""">Android v14</li>"
136,OPPO Reno 11 (8GB RAM + 256GB),"<img alt=""OPPO Reno 11 (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iwP9VZHeo-w280-h280/oppo-reno-11-8gb-ram.webp""/>","₹29,999",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 32 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
