,Phone,Img_url,Price,Rating,connectivity,processor,Memory,Bettry,Display,Camera,Memory_card,Os
36,Apple iPhone 15,"<img alt=""Apple iPhone 15"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iWLT056zS-w280-h280/apple-iphone-15.webp""/>","₹71,490",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Bionic  A16, Hexa Core, 3.46 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">3349 mAh Battery with Fast Charging</li>","<li class="""">6.1 inches, 1179 x 2556 px Display with Dynamic Island</li>","<li class="""">48 MP + 12 MP Dual Rear &amp; 12 MP Front Camera</li>","<li class="""">iOS v17</li>",
37,Vivo T2 Pro 5G,"<img alt=""Vivo T2 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iU8jVEFYT-w280-h280/vivo-t2-pro-5g.webp""/>","₹23,999",81,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4600 mAh Battery with 66W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
38,Samsung Galaxy M14 (6GB RAM + 128GB),"<img alt=""Samsung Galaxy M14 (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iSLHUYeot-w280-h280/samsung-galaxy-m14-6.webp""/>","₹12,198",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Exynos 1330, Octa Core, 2.4 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2408 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
39,Poco X6 Pro 5G,"<img alt=""Poco X6 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iAdmzTljq-w280-h280/poco-x6-pro-5g.webp""/>","₹25,999",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Dimensity 8300 Ultra, Octa Core, 3.35 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
40,Motorola Edge 40 5G,"<img alt=""Motorola Edge 40 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i5k8kTQcK-w280-h280/motorola-edge-40-5g.webp""/>","₹26,999",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 8020, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">4400 mAh Battery with 68W Fast Charging</li>","<li class="""">6.55 inches, 1080 x 2400 px, 144 Hz Display</li>","<li class="""">50 MP + 13 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v13</li>","<li class="""">Bluetooth</li>"
41,Vivo T3 5G (8GB RAM + 256GB),"<img alt=""Vivo T3 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iJgJnXY13-w280-h280/vivo-t3-5g-8gb-ram-2.webp""/>","₹21,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
42,Samsung Galaxy S22 5G,"<img alt=""Samsung Galaxy S22 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ipXHkEAIk-w280-h280/samsung-galaxy-s22-5.webp""/>","₹37,710",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Snapdragon  8 Gen1, Octa Core, 3 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">3700 mAh Battery with 25W Fast Charging</li>","<li class="""">6.1 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 12 MP + 10 MP Triple Rear &amp; 10 MP Front Camera</li>","<li class="""">Android v12</li>","<li class="""">Bluetooth</li>"
43,Poco X6 Neo,"<img alt=""Poco X6 Neo"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iU7jemD5T-w280-h280/poco-x6-neo.webp""/>","₹15,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
44,OnePlus 12 5G,"<img alt=""OnePlus 12 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ioNeUvJVN-w280-h280/oneplus-12-5g.webp""/>","₹63,047",93,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5400 mAh Battery with 100W Fast Charging</li>","<li class="""">6.82 inches, 1440 x 3168 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 50 MP + 48 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
45,Samsung Galaxy S24 Ultra,"<img alt=""Samsung Galaxy S24 Ultra"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iz5ZKOGY0-w280-h280/samsung-galaxy-s24-u.webp""/>","₹1,25,999",95,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.8 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole</li>","<li class="""">200 MP Quad Rear &amp; 12 MP Front Camera</li>","<li class="""">Android v14</li>",
46,Realme 12 Pro Plus,"<img alt=""Realme 12 Pro Plus"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iPJfc3hvY-w280-h280/realme-12-pro-plus.webp""/>","₹29,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 50 MP + 8 MP Triple Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v14</li>",
47,Poco C61,"<img alt=""Poco C61"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iYXmJUISA-w280-h280/poco-c61.webp""/>","₹6,999",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio G36, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 64 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.71 inches, 720 x 1650 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">8 MP + 0.08 MP Dual Rear &amp; 5 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
48,Xiaomi Redmi 12 5G (8GB RAM + 256GB),"<img alt=""Xiaomi Redmi 12 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-it7Ho0Flf-w280-h280/xiaomi-redmi-12-5g-8.webp""/>","₹14,832",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
49,Samsung Galaxy F15 5G (6GB RAM +  128GB),"<img alt=""Samsung Galaxy F15 5G (6GB RAM +  128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iwUujWfwg-w280-h280/samsung-galaxy-f15-5.webp""/>","₹14,499",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.45 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 5 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
50,OnePlus Nord CE 3 Lite 5G (8GB RAM + 256GB),"<img alt=""OnePlus Nord CE 3 Lite 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-icoGLev3N-w280-h280/oneplus-nord-ce-3-li.webp""/>","₹19,930",86,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 695 5G, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
51,iQOO Neo 9 Pro 5G,"<img alt=""iQOO Neo 9 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iaRsF1EHH-w280-h280/iqoo-neo-9-pro-5g.webp""/>","₹36,999",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5160 mAh Battery with 120W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
52,Poco M6 Pro 5G (6GB RAM + 128GB),"<img alt=""Poco M6 Pro 5G (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iQexkhhyf-w280-h280/poco-m6-pro-5g-6gb-r.webp""/>","₹10,998",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.79 inches, 1080 x 2460 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v13</li>"
53,Poco C55 (6GB RAM + 128GB),"<img alt=""Poco C55 (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i3RhIr8TS-w280-h280/poco-c55-6gb-ram-128.webp""/>","₹6,499",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio  G85, Octa Core, 2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 10W Fast Charging</li>","<li class="""">6.71 inches, 720 x 1650 px Display with Water Drop Notch</li>","<li class="""">50 MP Dual Rear &amp; 5 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v12</li>"
54,Vivo V29,"<img alt=""Vivo V29"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-irqswbtJA-w280-h280/vivo-v29.webp""/>","₹31,500",84,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Snapdragon 778G, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4600 mAh Battery with 80W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v13</li>",
55,Motorola Edge 40 Neo (12GB RAM + 256GB),"<img alt=""Motorola Edge 40 Neo (12GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ipPM7JWu7-w280-h280/motorola-edge-40-neo.webp""/>","₹24,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 7030, Octa Core, 2.5 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 68W Fast Charging</li>","<li class="""">6.55 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole</li>","<li class="""">50 MP + 13 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v13</li>",
56,Motorola Moto G34 5G,"<img alt=""Motorola Moto G34 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-idfQYa7Oa-w280-h280/motorola-moto-g34-5g.webp""/>","₹10,999",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi</li>","<li class="""">Snapdragon 695, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 18W Fast Charging</li>","<li class="""">6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
57,Poco X6 5G,"<img alt=""Poco X6 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ieA6DEb96-w280-h280/poco-x6-5g.webp""/>","₹19,999",81,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5100 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v13</li>",
58,Samsung Galaxy S23 Ultra 5G,"<img alt=""Samsung Galaxy S23 Ultra 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-irL4aiWU6-w280-h280/samsung-galaxy-s23-u.webp""/>","₹92,170",94,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor</li>","<li class="""">12 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.8 inches, 1440 x 3088 px, 120 Hz Display with Punch Hole</li>","<li class="""">200 MP Quad Rear &amp; 12 MP Front Camera</li>","<li class="""">Android v13</li>",
59,Samsung Galaxy A15 5G,"<img alt=""Samsung Galaxy A15 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ixGAuygHf-w280-h280/samsung-galaxy-a15-5.webp""/>","₹19,499",81,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 25W Fast Charging</li>","<li class="""">6.5 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 5 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v14</li>"
60,Honor 90 5G,"<img alt=""Honor 90 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iSVJr9drD-w280-h280/honor-90-5g.webp""/>","₹25,499",89,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon 7 Gen 1 Accelerated Edition, Octa Core, 2.36 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 66W Fast Charging</li>","<li class="""">6.7 inches, 1200 x 2664 px, 120 Hz Display with Punch Hole</li>","<li class="""">200 MP + 12 MP + 2 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v13</li>",
61,Samsung Galaxy S23 FE 5G,"<img alt=""Samsung Galaxy S23 FE 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iJdjtWe2x-w280-h280/samsung-galaxy-s23-f.webp""/>","₹53,999",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC</li>","<li class="""">Exynos 2200, Octa Core, 2.8 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4500 mAh Battery with 25W Fast Charging</li>","<li class="""">6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 12 MP + 8 MP Triple Rear &amp; 10 MP Front Camera</li>","<li class="""">Android v13</li>",
62,Infinix Note 30 5G (8GB RAM + 256GB),"<img alt=""Infinix Note 30 5G (8GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iHhiBfhfP-w280-h280/infinix-note-30-5g-8.webp""/>","₹15,499",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Dimensity 6080, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 256 GB inbuilt</li>","<li class="""">5000 mAh Battery with 45W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole</li>","<li class="""">108 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v13</li>"
63,Vivo V30 Pro (12GB RAM + 512GB),"<img alt=""Vivo V30 Pro (12GB RAM + 512GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iaIo0C7tN-w280-h280/vivo-v30-pro-12gb-ra.webp""/>","₹45,999",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 8200, Octa Core, 3.1 GHz Processor</li>","<li class="""">12 GB RAM, 512 GB inbuilt</li>","<li class="""">5000 mAh Battery with 80W Fast Charging</li>","<li class="""">6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP + 50 MP Triple Rear &amp; 50 MP Front Camera</li>","<li class="""">Android v14</li>",
64,Realme Narzo 70 Pro 5G,"<img alt=""Realme Narzo 70 Pro 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i7fH1IcHD-w280-h280/realme-narzo-70-pro.webp""/>","₹19,035",83,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 7050, Octa Core, 2.6 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 67W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 2 TB</li>","<li class="""">Android v14</li>"
65,Samsung Galaxy A14 5G (8GB RAM + 128GB),"<img alt=""Samsung Galaxy A14 5G (8GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i8VSRseH2-w280-h280/samsung-galaxy-a14-5.webp""/>","₹13,599",82,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Exynos 1330, Octa Core, 2.4 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 15W Fast Charging</li>","<li class="""">6.6 inches, 1080 x 2408 px, 90 Hz Display with Water Drop Notch</li>","<li class="""">50 MP + 2 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v13</li>"
66,OnePlus 12R (16GB RAM + 256GB),"<img alt=""OnePlus 12R (16GB RAM + 256GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-i4QkGSJZp-w280-h280/oneplus-12r-16gb-ram.webp""/>","₹45,444",87,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster</li>","<li class="""">Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor</li>","<li class="""">16 GB RAM, 256 GB inbuilt</li>","<li class="""">5500 mAh Battery with 100W Fast Charging</li>","<li class="""">6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 8 MP + 2 MP Triple Rear &amp; 16 MP Front Camera</li>","<li class="""">Android v14</li>",
67,Motorola Moto G24 Power (8GB RAM + 128GB),"<img alt=""Motorola Moto G24 Power (8GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iiUeasxng-w280-h280/motorola-moto-g24-po.webp""/>","₹8,999",,"<li class="""">Dual Sim, 3G, 4G, VoLTE, Wi-Fi</li>","<li class="""">Helio G85, Octa Core, 2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">6000 mAh Battery with 30W Fast Charging</li>","<li class="""">6.6 inches, 720 x 1612 px, 90 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 16 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 1 TB</li>","<li class="""">Android v14</li>"
68,Xiaomi Redmi Note 12 (6GB RAM + 128GB),"<img alt=""Xiaomi Redmi Note 12 (6GB RAM + 128GB)"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iSZ7WoqTz-w280-h280/xiaomi-redmi-note-12.webp""/>","₹12,239",80,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster</li>","<li class="""">Snapdragon 4 Gen 1, Octa Core, 2 GHz Processor</li>","<li class="""">6 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">48 MP + 8 MP + 2 MP Triple Rear &amp; 13 MP Front Camera</li>","<li class="""">Memory Card (Hybrid), upto 1 TB</li>","<li class="""">Android v12</li>"
69,Vivo V29e,"<img alt=""Vivo V29e"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iy2wIvPwa-w280-h280/vivo-v29e.webp""/>","₹24,280",85,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon  695, Octa Core, 2.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 44W Fast Charging</li>","<li class="""">6.78 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">64 MP + 8 MP Dual Rear &amp; 50 MP Front Camera</li>","<li class="""">Memory Card (Hybrid)</li>","<li class="""">Android v13</li>"
70,Nothing Phone 2,"<img alt=""Nothing Phone 2"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-ik0pyXzsv-w280-h280/nothing-phone-2.webp""/>","₹35,999",88,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC</li>","<li class="""">Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor</li>","<li class="""">8 GB RAM, 128 GB inbuilt</li>","<li class="""">4700 mAh Battery with 45W Fast Charging</li>","<li class="""">6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 50 MP Dual Rear &amp; 32 MP Front Camera</li>","<li class="""">Android v13</li>",
71,Realme C67 5G,"<img alt=""Realme C67 5G"" class=""sm-img"" loading=""lazy"" src=""https://cdn1.smartprix.com/rx-iev3MZ6d8-w280-h280/realme-c67-5g.webp""/>","₹11,389",,"<li class="""">Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi</li>","<li class="""">Dimensity 6100 Plus, Octa Core, 2.2 GHz Processor</li>","<li class="""">4 GB RAM, 128 GB inbuilt</li>","<li class="""">5000 mAh Battery with 33W Fast Charging</li>","<li class="""">6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole</li>","<li class="""">50 MP + 2 MP Dual Rear &amp; 8 MP Front Camera</li>","<li class="""">Memory Card Supported, upto 2 TB</li>","<li class="""">Android v13</li>"
